iter	MultiClass
0	2.141255901
1	2.092932546
2	2.040731506
3	1.995556502
4	1.948491232
5	1.912764658
6	1.86921521
7	1.824513441
8	1.791826721
9	1.752373247
10	1.717538669
11	1.685464072
12	1.661355848
13	1.634040817
14	1.605756674
15	1.586700566
16	1.56678047
17	1.54455448
18	1.521726405
19	1.499957671
20	1.481757857
21	1.46432681
22	1.44802869
23	1.433206595
24	1.418575025
25	1.404360106
26	1.389645839
27	1.376783796
28	1.364854208
29	1.356463045
30	1.344583107
31	1.334377537
32	1.320818611
33	1.309848112
34	1.297381966
35	1.286178936
36	1.275705605
37	1.265882079
38	1.255606775
39	1.248211072
40	1.238038883
41	1.230111393
42	1.223608211
43	1.213894102
44	1.207445283
45	1.199777228
46	1.192738909
47	1.18546068
48	1.179300272
49	1.173175176
50	1.166901284
51	1.160565828
52	1.154619666
53	1.148888456
54	1.14285984
55	1.136711936
56	1.13173882
57	1.125194076
58	1.119968477
59	1.115418843
60	1.110576982
61	1.105598856
62	1.101356033
63	1.096549879
64	1.091589862
65	1.087744049
66	1.082601253
67	1.079239649
68	1.075333403
69	1.070826748
70	1.066145261
71	1.061554715
72	1.057888839
73	1.053179569
74	1.04844313
75	1.043945409
76	1.039314165
77	1.035582624
78	1.032396791
79	1.028415815
80	1.024858082
81	1.01966836
82	1.015724017
83	1.011479153
84	1.007897891
85	1.004137849
86	1.000082085
87	0.9959152937
88	0.9926895163
89	0.9897067296
90	0.9861172047
91	0.982791529
92	0.979211223
93	0.9760255982
94	0.9726526882
95	0.9700519207
96	0.9670420887
97	0.9636054893
98	0.9602531298
99	0.9573514607
100	0.9545339947
101	0.9512459736
102	0.948473896
103	0.9453301393
104	0.9421198794
105	0.9382273952
106	0.9357744984
107	0.9327685245
108	0.929354765
109	0.9268574294
110	0.92391191
111	0.9211028248
112	0.918132207
113	0.9158104102
114	0.9135447358
115	0.9105243547
116	0.9077631878
117	0.9043091461
118	0.9008136834
119	0.8972930723
120	0.894458679
121	0.890938819
122	0.8877710465
123	0.8847619923
124	0.882148858
125	0.8794014263
126	0.8754134719
127	0.8727492814
128	0.8694314875
