iter	Passed	Remaining
0	40	32669
1	79	31556
2	122	32443
3	163	32464
4	203	32300
5	238	31616
6	275	31241
7	314	31089
8	345	30353
9	377	29812
10	407	29241
11	434	28528
12	461	27914
13	485	27233
14	508	26589
15	535	26260
16	562	25890
17	591	25687
18	620	25494
19	644	25141
20	668	24801
21	698	24698
22	729	24652
23	756	24458
24	784	24315
25	815	24264
26	841	24082
27	863	23821
28	887	23608
29	913	23441
30	941	23359
31	970	23281
32	994	23126
33	1020	22996
34	1049	22942
35	1079	22918
36	1111	22928
37	1138	22832
38	1162	22692
39	1187	22556
40	1216	22525
41	1250	22564
42	1280	22542
43	1314	22577
44	1340	22495
45	1369	22455
46	1400	22442
47	1429	22393
48	1454	22292
49	1479	22188
50	1506	22125
51	1531	22023
52	1553	21900
53	1556	21502
54	1580	21403
55	1610	21397
56	1646	21456
57	1670	21374
58	1693	21273
59	1721	21231
60	1745	21146
61	1770	21080
62	1797	21028
63	1825	20996
64	1856	20988
65	1886	20980
66	1910	20905
67	1933	20815
68	1958	20743
69	1986	20717
70	2015	20689
71	2039	20616
72	2062	20540
73	2086	20472
74	2113	20426
75	2137	20362
76	2168	20359
77	2196	20330
78	2220	20262
79	2244	20196
80	2267	20124
81	2294	20088
82	2323	20070
83	2349	20026
84	2373	19969
85	2404	19960
86	2434	19950
87	2464	19936
88	2488	19881
89	2518	19865
90	2547	19848
91	2580	19857
92	2610	19848
93	2639	19821
94	2666	19786
95	2693	19754
96	2722	19731
97	2751	19712
98	2774	19645
99	2798	19592
100	2821	19529
101	2849	19496
102	2877	19470
103	2905	19442
104	2935	19427
105	2962	19396
106	2991	19376
107	3021	19362
108	3046	19312
109	3074	19287
110	3103	19265
111	3131	19235
112	3155	19183
113	3185	19166
114	3214	19148
115	3244	19133
116	3269	19087
117	3294	19042
118	3323	19017
119	3347	18969
120	3372	18925
121	3399	18893
122	3430	18884
123	3460	18863
124	3493	18862
125	3523	18848
126	3556	18844
127	3584	18817
128	3615	18804
129	3640	18762
130	3663	18711
131	3686	18658
132	3711	18612
133	3739	18586
134	3765	18550
135	3791	18510
136	3819	18483
137	3847	18456
138	3874	18424
139	3901	18393
140	3931	18375
141	3964	18371
142	3990	18332
143	4015	18291
144	4046	18278
145	4076	18259
146	4106	18241
147	4134	18215
148	4160	18179
149	4188	18149
150	4219	18133
151	4251	18123
152	4281	18103
153	4306	18066
154	4338	18054
155	4363	18013
156	4386	17965
157	4420	17962
158	4449	17937
159	4477	17908
160	4504	17876
161	4533	17855
162	4561	17826
163	4586	17786
164	4614	17758
165	4642	17730
166	4669	17697
167	4692	17654
168	4719	17622
169	4745	17585
170	4777	17573
171	4810	17562
172	4837	17532
173	4863	17497
174	4888	17459
175	4921	17449
176	4953	17436
